"Data Source","World Development Indicators",

"Last Updated Date","2024-11-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Switzerland","CHE","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.06","","","6.72","","11.92","5.94","4.93","4.53","4.33","4.43","5.02","4.52","5.1","4.15","4.72","5.88","3.83","3.5","3.48","3.07","3.8","4.53","3.68","3.71","3.67","3.93","4.8","4.67","5.41","3.96","4.13","","",
"Channel Islands","CHI","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.99","10.99","10.99","10.67","10.99","10.99","10.99","9.99","9","8","6.99","5.9","4.88","4.86","2.27","2.99","2.8","2.77","2.75","2.71","2.71","5.99","","1.17","5.99","1.04","1.05","1.04","1.03","1.07","","",
"China","CHN","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.71","37.1","33.32","","22.02","16.66","17.08","16.34","16.4","15.39","12.15","10.69","9.81","9.24","8.89","8.93","8.7","8.09","8.09","8.13","","","7.74","7.82","7.88","8.46","7.56","5.39","5.32","5.31","","",
"Cote d'Ivoire","CIV","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.88","","","4.81","","","","","13.42","13.59","13.59","13.62","13.64","13.45","13.22","13.22","13.13","13.02","12.94","12.88","12.88","12.91","12.55","12.19","12.84","12.51","12.13","12.13","12.13","","",
"Cameroon","CMR","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.45","18.1","","","","","","18.65","18.52","19.19","19.19","19.16","19.21","18.78","18.72","18.95","18.72","18.87","18.88","18.75","18.91","","","","","18.56","","","","",
"Congo, Dem. Rep.","COD","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.14","","","13.05","12.94","12.92","12.9","11.87","","","","11.65","","","","","12.02","11.57","","","",
"Congo, Rep.","COG","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.49","","","17.41","","","","19.64","19.62","19.89","19.89","19.97","19.89","18.24","18.2","18.2","18.2","18.2","","18.51","18.44","12.91","","","","","","","","",
"Colombia","COL","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.98","12.02","","12.48","13.81","12.24","12.36","12.39","12.46","12.76","12.79","12.8","12.75","11.74","11.91","11.23","10.8","10.78","10.69","11.25","6.79","5.52","5.66","5.15","5","5.04","4.39","3.2","2.85","2.52","3.19","","",
"Comoros","COM","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.88","","9.07","9.07","7.34","11.85","9.9","12","","10.8","12","12.47","12.17","12.49","","",
"Cabo Verde","CPV","Tariff rate, applied, simple mean, all products (%)","TM.TAX.MRCH.SM.AR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.42","15.26","15.27","15.27","15.48","14.87","15.02","14.78","15.13","","14.82","","","","14.51","13.71","13.59","","",
