Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"QCL","Cultures et produits animaux","GTM","Guatemala","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","237235","I","Valeur imputée",""
"QCL","Cultures et produits animaux","GIN","Guinée","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","37544","E","Valeur estimée",""
"QCL","Cultures et produits animaux","GIN","Guinée","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","10942","E","Valeur estimée",""
"QCL","Cultures et produits animaux","GNQ","Guinée équatoriale","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","380","E","Valeur estimée",""
"QCL","Cultures et produits animaux","GNQ","Guinée équatoriale","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","322","E","Valeur estimée",""
"QCL","Cultures et produits animaux","GNB","Guinée-Bissau","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","2115","E","Valeur estimée",""
"QCL","Cultures et produits animaux","GNB","Guinée-Bissau","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","3717","E","Valeur estimée",""
"QCL","Cultures et produits animaux","GUY","Guyana","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","30976","I","Valeur imputée",""
"QCL","Cultures et produits animaux","GUY","Guyana","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","33369","I","Valeur imputée",""
"QCL","Cultures et produits animaux","HTI","Haïti","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","5891","I","Valeur imputée",""
"QCL","Cultures et produits animaux","HTI","Haïti","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","9782","I","Valeur imputée",""
"QCL","Cultures et produits animaux","HND","Honduras","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","48905","I","Valeur imputée",""
"QCL","Cultures et produits animaux","HND","Honduras","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","126488","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","HUN","Hongrie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","32114","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","HUN","Hongrie","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","177875","A","Chiffre officiel",""
"QCL","Cultures et produits animaux","COK","Îles Cook","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","16","E","Valeur estimée",""
"QCL","Cultures et produits animaux","COK","Îles Cook","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","21","E","Valeur estimée",""
"QCL","Cultures et produits animaux","SLB","Îles Salomon","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","248","I","Valeur imputée",""
"QCL","Cultures et produits animaux","SLB","Îles Salomon","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","355","I","Valeur imputée",""
"QCL","Cultures et produits animaux","IND","Inde","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","852324","I","Valeur imputée",""
"QCL","Cultures et produits animaux","IND","Inde","5321","Animaux Producteurs/Abattus","21121","Viande, poulet, fraîche ou réfrigérée","2022","2022","1000 têtes","2983054","I","Valeur imputée",""
"QCL","Cultures et produits animaux","IDN","Indonésie","5112","Réserves","02151","Poulets","2022","2022","1000 têtes","3482427","A","Chiffre officiel",""
