Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit (FBS),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FBS","Bilans Alimentaires (2010-)","CRI","Costa Rica","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","20","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CIV","Côte d'Ivoire","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","68","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CIV","Côte d'Ivoire","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HRV","Croatie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","71","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HRV","Croatie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","34","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CUB","Cuba","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","19","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","CUB","Cuba","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","317","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DNK","Danemark","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","152","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DNK","Danemark","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","99","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DJI","Djibouti","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","4","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DMA","Dominique","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","DMA","Dominique","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","4","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","EGY","Égypte","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","2626","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","EGY","Égypte","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","20","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","SLV","El Salvador","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","160","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","SLV","El Salvador","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","21","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ARE","Émirats arabes unis","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","53","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ARE","Émirats arabes unis","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","638","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ECU","Équateur","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","517","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ECU","Équateur","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ESP","Espagne","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1585","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ESP","Espagne","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","212","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","EST","Estonie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","23","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","EST","Estonie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","25","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","SWZ","Eswatini","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","5","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","SWZ","Eswatini","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","3","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","USA","États-Unis d'Amérique","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","22030","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","USA","États-Unis d'Amérique","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","191","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ETH","Éthiopie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","49","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ETH","Éthiopie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","RUS","Fédération de Russie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","5308","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","RUS","Fédération de Russie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","52","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","FJI","Fidji","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","46","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","FJI","Fidji","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","5","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","FIN","Finlande","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","147","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","FIN","Finlande","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","24","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","FRA","France","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1478","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","FRA","France","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","667","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GAB","Gabon","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","4","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GAB","Gabon","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","87","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GMB","Gambie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GMB","Gambie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","53","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GEO","Géorgie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","24","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GEO","Géorgie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","67","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GHA","Ghana","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","71","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GHA","Ghana","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","250","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GRC","Grèce","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","248","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GRC","Grèce","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","82","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GRD","Grenade","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GRD","Grenade","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","8","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GTM","Guatemala","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","424","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GTM","Guatemala","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","143","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GIN","Guinée","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","15","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GIN","Guinée","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","72","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GNB","Guinée-Bissau","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","3","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GNB","Guinée-Bissau","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","3","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GUY","Guyana","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","57","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","GUY","Guyana","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","1","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HTI","Haïti","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","9","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HTI","Haïti","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","106","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HND","Honduras","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","258","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HND","Honduras","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","18","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HUN","Hongrie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","485","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","HUN","Hongrie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","93","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","MHL","Îles Marshall","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","3","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","SLB","Îles Salomon","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","SLB","Îles Salomon","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","7","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IND","Inde","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","4951","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IND","Inde","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IDN","Indonésie","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","4083","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IDN","Indonésie","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","0","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IRN","Iran (République islamique d')","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","2101","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IRN","Iran (République islamique d')","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","78","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IRQ","Iraq","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","157","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IRQ","Iraq","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","470","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IRL","Irlande","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","159","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","IRL","Irlande","5611","Importations - quantité","S2734","Viande de Volailles","2022","2022","1000 t","110","I","Valeur imputée",""
"FBS","Bilans Alimentaires (2010-)","ISL","Islande","5511","Production","S2734","Viande de Volailles","2022","2022","1000 t","10","I","Valeur imputée",""
