Code Domaine,Domaine,Code zone (ISO3),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","3456.718","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BOL","Bolivie (État plurinational de)","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","8251.182","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BES","Bonaire, Saint-Eustache et Saba","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","26.706","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BES","Bonaire, Saint-Eustache et Saba","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","6.571","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BES","Bonaire, Saint-Eustache et Saba","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","19.862","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","3270.943","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","1766.129","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BIH","Bosnie-Herzégovine","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","1725.939","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BWA","Botswana","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","2588.423","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BWA","Botswana","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","698.606","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BWA","Botswana","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","1757.85","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRA","Brésil","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","214326.223","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRA","Brésil","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","27304.243","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRA","Brésil","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","187973.657","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","445.373","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","96.423","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BRN","Brunéi Darussalam","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","353.19","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGR","Bulgarie","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","6885.868","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGR","Bulgarie","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","1652.403","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BGR","Bulgarie","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","5239.807","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BFA","Burkina Faso","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","22100.683","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BFA","Burkina Faso","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","14781.376","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BFA","Burkina Faso","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","6715.585","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BDI","Burundi","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","12551.213","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BDI","Burundi","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","10575.557","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","BDI","Burundi","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","1729.9","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CPV","Cabo Verde","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","587.925","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CPV","Cabo Verde","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","188.937","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CPV","Cabo Verde","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","385.375","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","KHM","Cambodge","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","16589.023","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","KHM","Cambodge","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","12764.03","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","KHM","Cambodge","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","4179.681","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CMR","Cameroun","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","27198.628","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CMR","Cameroun","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","11138.276","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CMR","Cameroun","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","15475.489","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CAN","Canada","511","Population totale","3010","Population-Estimations","2021","2021","1000 personnes","38155.012","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CAN","Canada","551","Population rurale","3010","Population-Estimations","2021","2021","1000 personnes","6958.095","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","CAN","Canada","561","Population urbaine","3010","Population-Estimations","2021","2021","1000 personnes","30966.067","X","Ciffre de sources internationales",""
